word,translation,type,tag
kitchen,кухня,noun,дом
cook,готовить,verb,кухня
doctor,врач,noun,врач
garden,сад,noun,сад
street,улица,noun,улица
house,дом,noun,дом
car,машина,noun,улица
tree,дерево,noun,сад
hospital,больница,noun,врач
medicine,лекарство,noun,врач
walk,гулять,verb,улица
plant,растение,noun,сад
room,комната,noun,дом
drive,водить,verb,улица
healthy,здоровый,adjective,врач
beautiful,красивый,adjective,сад
clean,чистый,adjective,дом
fast,быстрый,adjective,улица
green,зеленый,adjective,сад
table,стол,noun,дом
